FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,VisScore_Top_Raw,VisScore_Front_Raw,VisScore_Top_Enhanced,VisScore_Front_Enhanced
fish3,81.9,2355,117.75,20.0,20.0,30.5734597801356,20.44721832429451,40.53333333333333,508.4186575654152,84.80781670659066,8680,10283,27.637371566942004,10.096207489172619,211.33357905611462,86.7,63.4,65.7,49.0
fish3,81.9,2360,118.0,20.0,20.0,30.5734597801356,20.836689149519167,40.666666666666664,515.946150929086,85.19097459675187,8798,9980,27.605817520235792,10.121526463731131,213.68734398396694,86.6,63.4,65.7,49.0
fish3,81.9,2365,118.25,20.0,20.0,30.5734597801356,20.44721832429451,41.333333333333336,506.4467197572999,84.81502687319686,8838,9943,27.6166506166623,10.142310884433325,214.51896150109562,86.7,63.3,65.6,49.0
fish3,81.9,2370,118.5,20.0,20.0,30.55137019490977,20.650729845322832,41.2,510.6181266590822,85.10880007314121,8727,9349,27.610096916876902,10.141451551649306,212.2915484685262,86.7,63.3,65.7,49.0
fish3,81.9,2375,118.75,20.0,20.0,30.5734597801356,21.031424562131495,41.46666666666667,517.4440652256351,85.45657124411296,8861,9043,27.634064048013578,10.15351534690857,215.00757939492215,86.6,63.3,65.7,49.0
fish3,81.9,2380,119.0,20.0,20.0,30.5734597801356,20.44721832429451,41.46666666666667,512.5711035267349,85.46001930609252,8694,8987,27.49840876668294,10.19417940249973,211.57258816918267,86.5,63.4,65.7,49.0
fish3,81.9,2385,119.25,20.0,20.0,30.5734597801356,20.64195373690684,41.2,515.1308304891921,85.58196646738779,8616,8378,27.388018499228387,10.215220971637303,209.92323947086567,86.5,63.4,65.6,48.9
fish3,81.9,2390,119.5,20.0,20.0,30.81772293105088,20.99146927456906,40.266666666666666,521.0276829730753,85.74871921300146,8757,7328,27.446291068672842,10.244185831324257,212.8304768999971,86.5,63.5,65.6,48.9
fish3,81.9,2395,119.75,20.0,20.0,30.962930605360256,20.25248291168218,39.2,517.8991277967386,86.13705629969868,8969,6813,27.400331800503203,10.232756919850239,217.01308872035344,86.5,63.5,65.6,49.0
fish3,81.9,2400,120.0,20.0,20.0,31.450654622013126,20.647153733428926,35.733333333333334,527.872582480091,86.97511348382406,8789,5511,27.505787649197053,9.952910084999928,213.238697734197,86.7,63.6,65.7,48.8
fish3,81.9,2405,120.25,20.0,20.0,31.453331877365354,20.503987429182793,35.733333333333334,526.3557072430792,86.9688906665575,8884,5243,27.413869246419274,9.969065689076317,215.0629349354956,86.7,63.6,65.7,48.8
fish3,81.9,2410,120.5,20.0,20.0,31.435016003901268,20.52339530191652,35.6,527.5502464922259,87.25750579495173,9117,4979,27.490406008572048,9.983889911132387,219.81429591970442,86.7,63.6,65.7,48.8
fish3,81.9,2415,120.75,20.0,20.0,31.403771453369977,20.404340638686662,35.333333333333336,523.246113007205,87.2232487750067,8825,4583,27.57823970523411,9.99372718148761,214.07196688672173,86.7,63.6,65.7,48.8
